#Amery = 115, West = 102, Publications = 104, Venable = 53, Abbot = 110, Cosgrove = 54, PIG = 55, Thwaites = 56, crosson = 57, Dotson = 58, Getz = 60, Nickerson = 64, Sulzberger = 65,Brunt = 36, Riiser-Larsen = 37, Quar = 38, Ekstrom = 39, Atka = 124, Jelbaert = 125, Fimbil = 121, Vigrid = 123, Nivlisen = 122, Lazarez = 120, Borchgrevink = 119, Baudouin = 118, Prince Herald = 158, scar inlet = 51, Larsen C = 8, Larsen D = 6, Larsen E = 7, N GVIIS = 45, S GVIIS = 44, Bach = 46, Stange = 52, Wilkins = 50, Ronne = 34, Filchner = 35, Ross West = 70, Ross East = 71, Mertz = 91,  Ninnis = 162, Cook = 90, Rennick = 86, Mariner = 83, Drygalski = 73, Nansen = 74, Dibble = 114, Shackleton = 100, Tracy Tremenchus = 24, Conger Glenzer = 99, Vincennes Bay = 159, Totten = 98, Moscow uni = 157, Holmes = 156
#lat,long,region
-74,-123.75,60
-74,-123.12,60
-74,-19.375,37
-74,-18.75,37
-74,-18.125,37
-74,-17.5,37
-74,-16.875,37
-74,-16.25,37
-73.5,-101.25,54
-73.5,-100.62,54
-73.5,-76.25,52
-73.5,-18.75,37
-73.5,-18.125,37
-73.5,-17.5,37
-73.5,-16.875,37
-73,-101.88,110
-73,-100.62,110
-73,-100,110
-73,-99.375,110
-73,-98.125,110
-73,-96.875,110
-73,-96.25,110
-73,-95.625,110
-73,-94.375,110
-73,-92.5,110
-73,-90.625,110
-73,-89.375,110
-73,-88.125,53
-73,-76.875,52
-73,-71.25,44
-73,-70.625,44
-73,-70,44
-73,-18.125,37
-73,-17.5,37
-73,-16.875,37
-73,-16.25,37
-73,-15.625,37
-73,-15,37
-72.5,-101.88,110
-72.5,-101.25,110
-72.5,-100.62,110
-72.5,-99.375,110
-72.5,-68.75,44
-72.5,-68.125,44
-72.5,-15,37
-72.5,-14.375,37
-72.5,-13.75,37
-72.5,-13.125,37
-72,-72.5,46
-72,-71.875,46
-72,-11.875,37
-72,-11.25,37
-72,68.125,115
-72,68.75,115
-72,69.375,115
-71.5,-10.625,38
-71.5,-0.625,121
-71.5,68.75,115
-71.5,69.375,115
-71.5,70,115
-71.5,70.625,115
-71,-72.5,50
-71,-71.875,50
-71,-9.375,39
-71,-8.125,39
-71,-5,125
-71,-3.75,125
-71,-3.125,125
-71,-1.875,121
-71,-1.25,121
-71,0.625,121
-71,1.25,121
-71,69.375,115
-71,70,115
-71,70.625,115
-71,71.25,115
-70.5,-73.125,50
-70.5,-71.875,50
-70.5,-3.75,125
-70.5,-2.5,121
-70.5,-1.875,121
-70.5,-0.625,121
-70.5,0.625,121
-70.5,1.25,121
-70.5,1.875,121
-70.5,2.5,121
-70.5,4.375,121
-70.5,5,121
-70.5,6.25,121
-70.5,7.5,121
-70.5,10.625,122
-70.5,11.25,122
-70.5,18.125,119
-70.5,19.375,119
-70.5,20,119
-70.5,20.625,119
-70.5,21.25,119
-70.5,22.5,119
-70.5,23.125,119
-70.5,25,118
-70.5,25.625,118
-70.5,26.875,118
-70.5,28.125,118
-70.5,28.75,118
-70.5,69.375,115
-70.5,70,115
-70.5,70.625,115
-70.5,71.25,115
-70,-72.5,50
-70,-71.875,50
-70,-0.625,121
-70,13.75,120
-70,14.375,120
-70,15.625,120
-70,16.25,119
-70,29.375,118
-70,30,118
-70,30.625,118
-70,31.25,118
-70,31.875,118
-70,68.75,115
-70,69.375,115
-70,70,115
-70,70.625,115
-70,71.25,115
-70,71.875,115
-70,72.5,115
-69.5,32.5,118
-69.5,69.375,115
-69.5,70,115
-69.5,70.625,115
-69.5,71.25,115
-69.5,71.875,115
-69.5,72.5,115
-69,-62.5,6
-69,-61.875,6
-69,-61.25,6
-69,70,115
-69,70.625,115
-68.5,-64.375,8
-68.5,-63.125,6
-68.5,-62.5,6
-68.5,-61.25,8
-68.5,-60.625,8
-68,-64.375,8
-68,-63.75,8
-68,-63.125,8
-68,-62.5,8
-68,-61.875,8
-68,-61.25,8
-68,146.88,162
-67.5,-64.375,8
-67.5,-63.75,8
-67.5,-63.125,8
-67.5,-62.5,8
-67.5,-61.875,8
-67.5,-61.25,8
-67.5,82.5,102
-67,-63.75,8
-67,-63.125,8
-67,-62.5,8
-67,-61.875,8
-67,84.375,102
-67,85.625,102
-67,115.62,98
-67,116.25,98
-67,121.25,157
-66.5,-63.125,8
-66.5,-62.5,8
-66.5,-61.875,8
-66.5,-61.25,8
-66.5,86.25,102
-66.5,86.875,102
-66.5,87.5,102
-66,-61.875,51
-66,96.25,100
-66,96.875,100
-66,98.125,100
-66,98.75,100
-66,100,100
